transaction_id,timestamp,user_id,amount,device_id,location,time_gap,typing_speed,is_fraud
8a6ecbf1-961,2026-01-11 14:04:41.238588,b425adc2,654.11,c617c751-e,Sydney,552,54,0
a71fde3b-1f3,2026-01-11 14:06:02.238588,08929327,818.86,768516f8-d,Singapore,3165,42,0
02428bb8-03e,2026-01-11 14:17:00.238588,aeae30c9,196.22,acbc7d2a-3,New York,1318,65,0
f6bd8180-b47,2026-01-11 14:17:16.238588,19601846,2694.31,0486fe66-2,London,910,42,0
f3d67642-900,2026-01-11 14:21:13.238588,5d25f792,306.97,ac370fa1-7,Berlin,2812,59,0
b4a2b9de-8f4,2026-01-11 14:23:08.238588,1239ec59,1637.01,144a2fe8-d,Mumbai,583,52,0
9e1e6179-ce2,2026-01-11 14:27:16.238588,86875da4,305.63,b58a82f1-d,New York,217,63,0
764902d7-26c,2026-01-11 14:37:08.238588,aa4a77fa,818.83,2bd58474-7,Mumbai,553,80,0
8cbef201-141,2026-01-11 14:52:27.238588,19fec79a,106.13,ab1e1e43-f,San Francisco,433,62,0
b76dd2c1-867,2026-01-11 14:53:52.238588,bfe2db92,399.38,c951e325-6,Sydney,2731,46,0
acf59867-3cf,2026-01-11 14:54:32.238588,efc86078,435.73,ad1e8161-c,Singapore,1775,61,0
776a43bd-fc8,2026-01-11 14:54:52.238588,8fdb0d57,520.5,2a2576ff-d,Tokyo,609,71,0
f08a2a8a-f42,2026-01-11 14:59:13.238588,ce773fd8,653.67,14e5d306-3,San Francisco,2905,61,0
f5c80c90-a54,2026-01-11 14:59:30.238588,152587dc,446.92,d76aaec7-6,London,1379,43,0
805b27cc-c98,2026-01-11 15:02:15.238588,882d678e,673.26,1b75c13c-2,New York,349,76,0
9708d9c5-2e3,2026-01-11 15:03:29.238588,7dbabfa7,359.41,95b83261-1,Mumbai,1208,57,0
c34fb03a-162,2026-01-11 15:11:33.238588,f5d21783,1772.8,17c3b3e9-8,London,3204,67,0
b61e3367-9a0,2026-01-11 15:12:02.238588,eb099aa4,495.5,e5083293-2,Tokyo,3489,76,0
91be43e1-63b,2026-01-11 15:13:26.238588,920effb9,689.56,eb210946-c,Sydney,2098,45,0
5f370dd8-38d,2026-01-11 15:14:15.238588,17dc0da3,948.37,55efab34-c,Berlin,2676,50,0
db78a361-3fa,2026-01-11 15:16:35.238588,0821fd35,928.23,9d5e21f9-5,Sydney,1525,68,0
f6001375-d8e,2026-01-11 15:18:58.238588,bda96ab4,401.46,8e761b1a-7,Singapore,3449,76,0
91e01267-4cc,2026-01-11 15:22:46.238588,58f2b758,870.27,38d51e55-c,Mumbai,2197,64,0
fbb735ce-99c,2026-01-11 15:24:41.238588,381afca0,1829.39,f3e9604a-b,Berlin,2651,63,0
11c93e1f-878,2026-01-11 15:29:17.238588,5327ce76,477.21,e67cbbe6-c,Singapore,367,41,0
35df55af-980,2026-01-11 15:34:51.238588,4bcb30ed,590.73,8dfe2b1b-2,London,2127,64,0
ad83fb65-ad2,2026-01-11 15:35:58.238588,f92c03e0,147.32,214307fa-e,Tokyo,2659,40,0
